iter	Passed	Remaining
424	1863	2521
425	1867	2516
426	1871	2511
427	1875	2506
428	1879	2501
429	1883	2496
430	1887	2491
431	1891	2486
432	1895	2481
433	1899	2476
434	1902	2471
435	1906	2466
436	1910	2461
437	1914	2456
438	1918	2451
439	1922	2446
440	1926	2441
441	1930	2436
442	1933	2431
443	1937	2426
444	1941	2421
445	1945	2416
446	1949	2412
447	1953	2407
448	1957	2402
449	1961	2397
450	1964	2391
451	1968	2387
452	1973	2382
453	1977	2377
454	1980	2372
455	1984	2367
456	1988	2362
457	1992	2357
458	1995	2352
459	1999	2347
460	2003	2342
461	2007	2337
462	2011	2332
463	2015	2327
464	2019	2323
465	2023	2318
466	2026	2313
467	2030	2308
468	2034	2303
469	2038	2298
470	2042	2293
471	2045	2288
472	2049	2283
473	2053	2278
474	2057	2273
475	2060	2268
476	2064	2263
477	2068	2259
478	2072	2254
479	2076	2249
480	2080	2244
481	2083	2239
482	2087	2234
483	2091	2230
484	2095	2225
485	2099	2220
486	2103	2215
487	2107	2210
488	2111	2206
489	2115	2201
490	2119	2197
491	2123	2192
492	2126	2187
493	2130	2182
494	2134	2177
495	2138	2172
496	2142	2168
497	2146	2163
498	2150	2158
499	2154	2154
500	2157	2149
501	2161	2144
502	2165	2140
503	2169	2135
504	2173	2130
505	2177	2125
506	2181	2121
507	2185	2116
508	2189	2111
509	2193	2107
510	2197	2102
511	2201	2097
512	2205	2093
513	2209	2088
514	2213	2084
515	2216	2079
516	2220	2074
517	2224	2070
518	2228	2065
519	2233	2061
520	2237	2056
521	2241	2052
522	2245	2047
523	2249	2043
524	2253	2038
525	2257	2034
526	2261	2029
527	2265	2025
528	2269	2020
529	2273	2016
530	2277	2011
531	2281	2006
532	2285	2002
533	2289	1997
534	2293	1993
535	2297	1989
536	2301	1984
537	2306	1980
538	2309	1975
539	2314	1971
540	2318	1966
541	2322	1962
542	2326	1957
543	2330	1953
544	2334	1949
545	2338	1944
546	2342	1939
547	2346	1935
548	2350	1930
549	2353	1925
550	2357	1921
551	2361	1916
552	2365	1912
553	2369	1907
554	2373	1903
555	2377	1898
556	2381	1893
557	2384	1889
558	2388	1884
559	2392	1879
560	2396	1875
561	2400	1870
562	2404	1866
563	2408	1862
564	2412	1857
565	2416	1853
566	2420	1848
567	2424	1844
568	2428	1839
569	2432	1834
570	2436	1830
571	2440	1826
572	2444	1821
573	2448	1816
574	2452	1812
575	2455	1807
576	2459	1803
577	2464	1799
578	2468	1794
579	2471	1790
580	2476	1785
581	2480	1781
582	2484	1776
583	2488	1772
584	2492	1768
585	2495	1763
586	2499	1758
587	2503	1754
588	2507	1749
589	2511	1745
590	2515	1740
591	2518	1735
592	2522	1731
593	2527	1727
594	2531	1723
595	2535	1718
596	2539	1714
597	2543	1709
598	2547	1705
599	2551	1700
600	2555	1696
601	2559	1692
602	2563	1687
603	2567	1683
604	2571	1678
605	2575	1674
606	2579	1669
607	2583	1665
608	2586	1660
609	2590	1656
610	2594	1651
611	2598	1647
612	2602	1643
613	2606	1638
614	2611	1634
615	2615	1630
616	2618	1625
617	2623	1621
618	2627	1616
619	2630	1612
620	2634	1608
621	2639	1603
622	2643	1599
623	2646	1594
624	2650	1590
625	2654	1586
626	2658	1581
627	2662	1576
628	2666	1572
629	2670	1568
630	2674	1563
631	2678	1559
632	2682	1555
633	2686	1550
634	2690	1546
635	2694	1542
636	2698	1537
637	2702	1533
638	2706	1528
639	2710	1524
640	2713	1519
641	2717	1515
642	2721	1511
643	2725	1506
644	2729	1502
645	2733	1497
646	2737	1493
647	2740	1488
648	2745	1484
649	2749	1480
650	2752	1475
651	2756	1471
652	2760	1466
653	2764	1462
654	2768	1458
655	2772	1453
656	2776	1449
657	2780	1444
658	2784	1440
659	2788	1436
660	2792	1432
661	2796	1427
662	2800	1423
663	2804	1418
664	2808	1414
665	2812	1410
666	2816	1405
667	2820	1401
668	2824	1397
669	2828	1392
670	2832	1388
671	2836	1384
672	2840	1380
673	2844	1375
674	2848	1371
675	2853	1367
676	2856	1363
677	2860	1358
678	2865	1354
679	2869	1350
680	2872	1345
681	2876	1341
682	2881	1337
683	2884	1332
684	2888	1328
685	2892	1324
686	2896	1319
687	2900	1315
688	2904	1310
689	2907	1306
690	2912	1302
691	2916	1298
692	2920	1293
693	2924	1289
694	2928	1285
695	2932	1280
696	2936	1276
697	2940	1272
698	2944	1267
699	2948	1263
700	2952	1259
701	2955	1254
702	2959	1250
703	2963	1246
704	2967	1241
705	2972	1237
706	2976	1233
707	2980	1229
708	2984	1224
709	2988	1220
710	2992	1216
711	2996	1211
712	3000	1207
713	3004	1203
714	3008	1199
715	3012	1194
716	3016	1190
717	3020	1186
718	3024	1181
719	3028	1177
720	3031	1173
721	3035	1168
722	3039	1164
723	3044	1160
724	3048	1156
725	3052	1152
726	3056	1147
727	3060	1143
728	3064	1139
729	3068	1134
730	3072	1130
731	3076	1126
732	3079	1121
733	3083	1117
734	3087	1113
735	3091	1109
736	3095	1104
737	3099	1100
738	3102	1095
739	3106	1091
740	3110	1087
741	3114	1082
742	3118	1078
743	3122	1074
744	3126	1070
745	3130	1065
746	3134	1061
747	3138	1057
748	3142	1052
749	3146	1048
750	3150	1044
751	3154	1040
752	3157	1035
753	3161	1031
754	3165	1027
755	3169	1022
756	3173	1018
757	3177	1014
758	3181	1010
759	3185	1005
760	3189	1001
761	3193	997
762	3197	993
763	3201	989
764	3206	984
765	3209	980
766	3213	976
767	3217	971
768	3221	967
769	3225	963
770	3229	959
771	3233	954
772	3236	950
773	3241	946
774	3245	942
775	3249	937
776	3253	933
777	3257	929
778	3261	925
779	3265	920
780	3269	916
781	3272	912
782	3276	908
783	3280	903
784	3284	899
785	3288	895
786	3292	891
787	3296	886
788	3300	882
789	3304	878
790	3307	873
791	3311	869
792	3315	865
793	3319	861
794	3323	856
795	3327	852
796	3331	848
797	3335	844
798	3339	840
799	3343	835
800	3347	831
801	3351	827
802	3355	823
803	3360	819
804	3364	814
805	3368	810
806	3372	806
807	3376	802
808	3380	798
809	3384	793
810	3387	789
811	3391	785
812	3396	781
813	3399	776
814	3403	772
815	3407	768
816	3411	764
817	3415	759
818	3419	755
819	3423	751
820	3427	747
821	3431	742
822	3435	738
823	3438	734
824	3442	730
825	3447	726
826	3451	721
827	3454	717
828	3459	713
829	3463	709
830	3467	705
831	3471	700
832	3475	696
833	3479	692
834	3483	688
835	3487	684
836	3491	680
837	3495	675
838	3499	671
839	3503	667
840	3507	663
841	3511	658
842	3515	654
843	3520	650
844	3524	646
845	3528	642
846	3532	638
847	3536	633
848	3541	629
849	3545	625
850	3549	621
851	3553	617
852	3557	612
853	3560	608
854	3565	604
855	3569	600
856	3573	596
857	3577	592
858	3581	587
859	3585	583
860	3589	579
861	3593	575
862	3597	571
863	3601	566
864	3605	562
865	3609	558
866	3613	554
867	3617	550
868	3621	545
869	3625	541
870	3629	537
871	3633	533
872	3637	529
873	3641	524
874	3645	520
875	3649	516
876	3653	512
877	3657	508
878	3661	504
879	3665	499
880	3669	495
881	3674	491
882	3678	487
883	3682	483
884	3686	479
885	3690	474
886	3693	470
887	3697	466
888	3702	462
889	3705	458
890	3709	453
891	3713	449
892	3717	445
893	3721	441
894	3725	437
895	3729	432
896	3733	428
897	3737	424
898	3741	420
899	3744	416
900	3748	411
901	3752	407
902	3756	403
903	3760	399
904	3764	395
905	3768	391
906	3772	386
907	3776	382
908	3780	378
909	3784	374
910	3788	370
911	3793	365
912	3797	361
913	3801	357
914	3805	353
915	3809	349
916	3812	345
917	3817	340
918	3821	336
919	3825	332
920	3829	328
921	3833	324
922	3837	320
923	3841	315
924	3844	311
925	3849	307
926	3852	303
927	3856	299
928	3861	295
929	3864	290
930	3868	286
931	3872	282
932	3876	278
933	3880	274
934	3884	270
935	3888	265
936	3892	261
937	3896	257
938	3900	253
939	3905	249
940	3908	245
941	3913	240
942	3917	236
943	3921	232
944	3924	228
945	3928	224
946	3932	220
947	3936	215
948	3940	211
949	3944	207
950	3948	203
951	3952	199
952	3956	195
953	3960	190
954	3964	186
955	3968	182
956	3972	178
957	3976	174
958	3980	170
959	3984	166
960	3988	161
961	3992	157
962	3996	153
963	4000	149
964	4004	145
965	4007	141
966	4012	136
967	4016	132
968	4020	128
969	4024	124
970	4028	120
971	4032	116
972	4036	112
973	4040	107
974	4044	103
975	4048	99
976	4052	95
977	4056	91
978	4060	87
979	4064	82
980	4068	78
981	4072	74
982	4076	70
983	4080	66
984	4084	62
985	4088	58
986	4093	53
987	4097	49
988	4101	45
989	4105	41
990	4109	37
991	4113	33
992	4117	29
993	4121	24
994	4125	20
995	4129	16
996	4133	12
997	4137	8
998	4141	4
999	4145	0
