iter	RMSE
184	0.5638347005
185	0.563213471
186	0.5623068826
187	0.5611920392
188	0.5601700256
189	0.5596674361
190	0.5585824174
191	0.5567462299
192	0.555480912
193	0.5541231288
194	0.5512708493
195	0.5503351409
196	0.5487115661
197	0.547694605
198	0.546500686
199	0.5453142293
200	0.543707785
201	0.542813223
202	0.5416101265
203	0.5400131738
204	0.5389930303
205	0.5371362486
206	0.5357946938
207	0.5345561964
208	0.5337272591
209	0.5324177439
210	0.5318550251
211	0.5310863082
212	0.5299710603
213	0.5275470256
214	0.5263989973
215	0.5250658751
216	0.5236859305
217	0.5226081526
218	0.5209277259
219	0.5204694416
220	0.5194438948
221	0.5182831467
222	0.5170558574
223	0.5155373962
224	0.5141481185
225	0.5129283103
226	0.512020384
227	0.5104909921
228	0.5098291315
229	0.5087710162
230	0.507668295
231	0.5062869454
232	0.5048747081
233	0.5042821458
234	0.5033252215
235	0.5028798853
236	0.5014498283
237	0.5008848074
238	0.5002923735
239	0.4993136211
240	0.4985526293
241	0.4978150215
242	0.4964712281
243	0.495802613
244	0.494628046
245	0.493557166
246	0.4926126609
247	0.4921350926
248	0.4914260152
249	0.490637025
250	0.4891437496
251	0.4880212765
252	0.4868470255
253	0.4859525818
254	0.4853633487
255	0.4845211339
256	0.4840630559
257	0.4830089765
258	0.4820091976
259	0.4803992398
260	0.4797422713
261	0.4788433827
262	0.4781345387
263	0.4775633233
264	0.4771102482
265	0.476480377
266	0.4751376546
267	0.4743618454
268	0.4734056169
269	0.4718704845
270	0.4714530231
271	0.4711124658
272	0.4706743413
273	0.4694957128
274	0.4690073883
275	0.4683358163
276	0.4676378252
277	0.4668533455
278	0.4664227644
279	0.4660624134
280	0.4651310969
281	0.4645522493
282	0.4635888148
283	0.4630257028
284	0.4624923914
285	0.4615185406
286	0.4609601273
287	0.4603333631
288	0.4594559502
289	0.4589523878
290	0.4584682969
291	0.4582262026
292	0.457695379
293	0.4573434263
294	0.456721526
295	0.4560419138
296	0.4553075368
297	0.4545974112
298	0.4543130086
299	0.4539753527
300	0.4534860839
301	0.4526864883
302	0.4520912662
303	0.4518038762
304	0.4509095121
305	0.4504756831
306	0.4496925357
307	0.4488805811
308	0.4483748493
309	0.4473864845
310	0.4470954488
311	0.4463972963
312	0.4457198014
313	0.4451681979
314	0.4442134512
315	0.4433517604
316	0.4427790088
317	0.4422279344
318	0.4418319974
319	0.4410418108
320	0.4405770733
321	0.440183196
322	0.438852314
323	0.4381898228
324	0.4379412554
325	0.4369539288
326	0.4364140982
327	0.4361489336
328	0.4347941281
329	0.4343748494
330	0.433653887
331	0.4328962896
332	0.4323193431
333	0.4317447663
334	0.4312786783
335	0.4306976343
336	0.4303237803
337	0.4297546463
338	0.4291613143
339	0.4288071171
340	0.4277177958
341	0.4272837984
342	0.4268207869
343	0.4264275416
344	0.4256650657
345	0.4251834874
346	0.4244641758
347	0.4238613889
348	0.4236418232
349	0.4231353986
350	0.4227854336
351	0.4225563076
352	0.4218599524
353	0.4212724416
354	0.4206206602
355	0.4196955801
356	0.4190575119
357	0.4182756983
358	0.4178379683
359	0.4175175932
360	0.4168876399
361	0.4166485423
362	0.4160998069
363	0.4156450921
364	0.4147508129
365	0.4141349692
366	0.4134288414
367	0.4132171378
368	0.4127603142
369	0.4122370391
370	0.4118969749
371	0.4113614082
372	0.4110163131
373	0.4105796582
374	0.4103554037
375	0.4101481895
376	0.4098918685
377	0.4090496452
378	0.4085612807
379	0.4079390848
380	0.4074599964
381	0.406877804
382	0.4064330227
383	0.4059516465
384	0.4053455918
385	0.4044586092
386	0.4039585573
387	0.4035310342
388	0.4031577142
389	0.4028086012
390	0.402410477
391	0.4018862338
392	0.401520519
393	0.4010956176
394	0.4009035779
395	0.4004196239
396	0.4001720793
397	0.3994906236
398	0.3989866926
399	0.3986484989
400	0.3983574563
401	0.3978585853
402	0.3976409394
403	0.3970023277
404	0.3967078366
405	0.3964045141
406	0.3960158166
407	0.395719208
408	0.3952285312
409	0.3948047729
410	0.3942803995
411	0.3938877272
412	0.3937103096
413	0.3934012154
414	0.3930266164
415	0.3926374247
416	0.3922622013
417	0.3914999265
418	0.3910134094
419	0.390648983
420	0.3902954971
421	0.3897563672
422	0.3893321185
423	0.3888428389
424	0.3886664562
425	0.388245631
426	0.3879084661
427	0.3875694053
428	0.3872995988
429	0.3870263748
430	0.3865054622
431	0.3859187959
432	0.3856530969
433	0.3852468975
434	0.3848230102
435	0.384451255
436	0.3842136324
437	0.3836330499
438	0.3831504349
439	0.3828057152
440	0.3825726918
441	0.382230063
442	0.3818287026
443	0.3816912847
444	0.3813264586
445	0.3807690309
446	0.3801139667
447	0.3798418657
448	0.3794885809
449	0.3792394269
450	0.3789715157
451	0.3785978059
452	0.3781844986
453	0.3779570096
454	0.377699641
455	0.3774594032
456	0.3770560216
457	0.3767355207
458	0.3764872719
459	0.3758985525
460	0.3755223599
461	0.375276804
462	0.3749106483
463	0.3747129476
464	0.3743339631
465	0.3740607485
466	0.3737419663
467	0.3734884527
468	0.3731772766
469	0.3724503509
470	0.3721180574
471	0.3716888443
472	0.3713684536
473	0.3709065304
474	0.3706134567
475	0.3703748594
476	0.3700326697
477	0.3697429772
478	0.369331087
479	0.3692005294
480	0.3688513457
481	0.368665324
482	0.368283154
483	0.3680673467
484	0.3678292883
485	0.3673706362
486	0.3669449374
487	0.3666544363
488	0.3663757289
489	0.3660926934
490	0.3658202733
491	0.3657010585
492	0.3654185645
493	0.3651351563
494	0.3648436442
495	0.3646555069
496	0.3644498377
497	0.3642888114
498	0.3641360307
499	0.3636497577
500	0.3634194515
501	0.3629991627
502	0.3625012629
503	0.3623400154
504	0.3619027386
505	0.3617044833
506	0.3613384008
507	0.3609882955
508	0.3606487073
509	0.3603455281
510	0.3597964321
511	0.3594552114
512	0.3591926213
513	0.3589465755
514	0.3586124459
515	0.358304127
516	0.3579984087
517	0.3577552876
518	0.3571502256
519	0.3566870833
520	0.3563459443
521	0.3560949758
522	0.3559154285
523	0.3557072372
524	0.3552517087
525	0.3550481111
526	0.3546583808
527	0.3540649942
528	0.353810947
529	0.3533741235
530	0.3528170541
531	0.3525249582
532	0.3522207221
533	0.351776865
534	0.3515408119
535	0.3512012197
536	0.3508918485
537	0.3507235376
538	0.3503798888
539	0.3501638103
540	0.3497638373
541	0.3495933045
542	0.3493625307
543	0.3491350965
544	0.3489095573
545	0.3487442171
546	0.3485262582
547	0.3480466185
548	0.3472431654
549	0.3468314684
550	0.3466623656
551	0.3461617471
552	0.3458499312
553	0.3456079466
554	0.344996968
555	0.3447364103
556	0.3445817058
557	0.3443478808
558	0.3441306973
559	0.3438524554
560	0.3434364218
561	0.3431678451
562	0.3425346148
563	0.342286452
564	0.3419467649
565	0.3414927376
566	0.3410262135
567	0.3407743953
568	0.3404020241
569	0.3402013488
570	0.3399834172
571	0.3395987396
572	0.3388311779
573	0.3386372127
574	0.3384688367
575	0.3382662199
576	0.3380206887
577	0.3379335723
578	0.337632096
579	0.3373847132
580	0.337108832
581	0.336809253
582	0.3365477861
583	0.3362200635
584	0.3359482037
585	0.3356883663
586	0.3351700854
587	0.3349169661
588	0.3346210875
589	0.3343817091
590	0.3341580312
591	0.33380815
592	0.333608069
593	0.3332795677
594	0.3330047633
595	0.3327960662
596	0.3326123743
597	0.3323496555
598	0.3320016379
599	0.3318143845
600	0.331542606
601	0.3313412259
602	0.331119876
603	0.3308390899
604	0.3306293429
605	0.3304719818
606	0.330008297
607	0.3298170471
608	0.3295035376
609	0.3292680923
610	0.3291003644
611	0.3288755711
612	0.3286093337
613	0.3283621655
614	0.3280923999
615	0.3277823413
616	0.3275118488
617	0.3271157691
618	0.3267918892
619	0.3260991933
620	0.3258443736
621	0.3257151979
622	0.3255398601
623	0.3252036215
624	0.3249732078
625	0.3246254667
626	0.3241448121
627	0.3239403101
628	0.3236186115
629	0.3235167523
630	0.3231314556
631	0.3228005403
632	0.3225058665
633	0.3220615903
634	0.3218416967
635	0.3216655637
636	0.321484688
637	0.3212147833
638	0.3210594167
639	0.3207996389
640	0.3205112421
641	0.3202612204
642	0.3201502813
643	0.3198045751
644	0.3196326557
645	0.3193824371
646	0.3186931833
647	0.3182351756
648	0.3180863981
649	0.3179525738
650	0.3174559579
651	0.3172062775
652	0.3169582246
653	0.3165849971
654	0.3163138593
655	0.3161420894
656	0.3159807193
657	0.315808008
658	0.3156689863
659	0.3155159947
660	0.3153756215
661	0.3150586664
662	0.3142629537
663	0.3141162953
664	0.3137557358
665	0.3136449013
666	0.3134407516
667	0.3131254826
668	0.3128749702
669	0.3126655107
670	0.3124873787
671	0.3122547695
672	0.3119282605
673	0.31173388
674	0.3115668893
675	0.3111716926
676	0.3109016725
677	0.3106859566
678	0.3104612196
679	0.3099840201
680	0.3097413994
681	0.3095616299
682	0.3092245532
683	0.3086276292
684	0.3082867549
685	0.3081538408
686	0.3079796822
687	0.3076884548
688	0.3074703807
689	0.3071227631
690	0.306890083
691	0.3065707269
692	0.3064792178
693	0.3061929503
694	0.3058142976
695	0.3054298946
696	0.3051977986
697	0.3050016232
698	0.3048423703
699	0.3045922866
700	0.3043564843
701	0.3042604123
702	0.304000005
703	0.3037130847
704	0.303338164
705	0.3031461052
706	0.3028913777
707	0.3028066458
708	0.302616966
709	0.3023799039
710	0.3021925322
711	0.3019992228
712	0.3018178158
713	0.3016423967
714	0.3015536673
715	0.3013703754
716	0.3012152231
717	0.3010436246
718	0.3008890525
719	0.3007472109
720	0.3005740364
721	0.3003801804
722	0.3002153247
723	0.3000261933
724	0.2999135635
725	0.2994050028
726	0.2991638527
727	0.2990016608
728	0.2988372679
729	0.2985896376
730	0.2983119066
731	0.2980851288
732	0.2979265475
733	0.2976714365
734	0.2975142882
735	0.2973970354
736	0.2972950814
737	0.297115561
738	0.2969667592
739	0.2965628484
740	0.2964057645
741	0.2962485034
742	0.2959311796
743	0.2956645856
744	0.295520659
745	0.2951951671
746	0.2950949927
747	0.2949375112
748	0.2947555193
749	0.2945821706
750	0.2945144116
751	0.2943979896
752	0.2942654915
753	0.2941091365
754	0.2940168962
755	0.2939020716
756	0.293792527
757	0.293488498
758	0.2931756493
759	0.292982589
760	0.2928902142
761	0.2924601613
762	0.2921683797
763	0.2920047575
764	0.2917615742
765	0.2915667081
766	0.2914178888
767	0.2912819355
768	0.291110293
769	0.2910068522
770	0.2908955994
771	0.2907137259
772	0.2904942631
773	0.2903319646
774	0.2901947442
775	0.2900003021
776	0.2897921315
777	0.2896533899
778	0.2894858094
779	0.2890941726
780	0.288873791
781	0.2887185658
782	0.2884874921
783	0.2883042895
784	0.2881635494
785	0.2878807969
786	0.2877652977
787	0.2875102006
788	0.2874076451
789	0.2871730916
790	0.2870393817
791	0.2868031632
792	0.2866511237
793	0.2865381179
794	0.2862264131
795	0.2860888376
796	0.2858757497
797	0.2857943375
798	0.2856749252
799	0.285542227
800	0.2853638627
801	0.2852452716
802	0.285121929
803	0.2850253468
804	0.2848871556
805	0.2847290263
806	0.2844826682
807	0.2843574167
808	0.2841163636
809	0.2838915616
810	0.2836783001
811	0.2835341647
812	0.283403645
813	0.2832393673
814	0.2830963035
815	0.2829730945
816	0.2828680623
817	0.2825909199
818	0.2824376635
819	0.2823190703
820	0.2822436368
821	0.2820172358
822	0.281900813
823	0.2817550696
824	0.2815487491
825	0.2814375842
826	0.2812604929
827	0.2810627846
828	0.2807576228
829	0.2805731607
830	0.2804637715
831	0.2803531199
832	0.2802119177
833	0.2801150548
834	0.2799136457
835	0.2797445966
836	0.2795740337
837	0.2793413346
838	0.2791841174
839	0.2789073449
840	0.2787423489
841	0.2783233645
842	0.2781227837
843	0.2780420701
844	0.2777699987
845	0.2776758418
846	0.2775340372
847	0.2772449476
848	0.277162854
849	0.2769722699
850	0.2768394199
851	0.2764358198
852	0.2762279219
853	0.2761237393
854	0.2758879019
855	0.2756609076
856	0.2755044224
857	0.2754019055
858	0.2750126618
859	0.2748979693
860	0.2747766169
861	0.2744793893
862	0.2743544858
863	0.2742225481
864	0.2741062281
865	0.273976573
866	0.2737313322
867	0.2735531115
868	0.2734312376
869	0.2732186199
870	0.2728662259
871	0.2726976372
872	0.2724112682
873	0.2722828663
874	0.2720996247
875	0.2719861833
876	0.2718863446
877	0.2715923439
878	0.2714461663
879	0.271321011
880	0.2711964182
881	0.2711023575
882	0.2709977892
883	0.2708710708
884	0.2705811092
885	0.2704179989
886	0.2702268415
887	0.2700742982
888	0.269976054
889	0.269865261
890	0.2696437086
891	0.2693785078
892	0.2692256231
893	0.2688004582
894	0.2687250095
895	0.2685720672
896	0.2684360751
897	0.2683696495
898	0.2682463323
899	0.2681480124
900	0.2680235211
901	0.2677442816
902	0.2676481514
903	0.2674964183
904	0.2672785357
905	0.2671336572
906	0.2669704966
907	0.2667749466
908	0.2664592052
909	0.2662916814
910	0.2661970679
911	0.266044444
912	0.2658823189
913	0.2657664676
914	0.2656008293
915	0.2654499367
916	0.2653368558
917	0.2650973023
918	0.2649889898
919	0.264812007
920	0.2646135045
921	0.2643419327
922	0.2641559643
923	0.2640550796
924	0.2639059739
925	0.2636427153
926	0.2635246513
927	0.2634451532
928	0.2631546484
929	0.2629445814
930	0.2628169032
931	0.262723693
932	0.2625868269
933	0.2622976429
934	0.2621859891
935	0.262095218
936	0.2618449306
937	0.2616779706
938	0.2615931715
939	0.26147618
940	0.2612699585
941	0.2611633385
942	0.2610222717
943	0.2608521774
944	0.260748488
945	0.2606243585
946	0.2604986494
947	0.260267486
948	0.2601266112
949	0.2600329461
950	0.2598557564
951	0.259616394
952	0.2594844802
953	0.2592318527
954	0.2590926997
955	0.2589061443
956	0.2587824113
957	0.2586631248
958	0.2584910608
959	0.2583044171
960	0.2581740178
961	0.2579528561
962	0.2578420342
963	0.2577332211
964	0.2576384285
965	0.2574629915
966	0.2573124923
967	0.2570982503
968	0.2567433295
969	0.2565785959
970	0.2564887833
971	0.2563644197
972	0.2560048809
973	0.2559111543
974	0.2557356097
975	0.2556258361
976	0.2554786339
977	0.2553281687
978	0.255165089
979	0.2550312059
980	0.254804904
981	0.254668949
982	0.2545385464
983	0.2544510816
984	0.2542312757
985	0.254135597
986	0.2539560578
987	0.2537845196
988	0.2536679083
989	0.2535764609
990	0.2533317898
991	0.2531447853
992	0.252996343
993	0.2528753702
994	0.2527555229
995	0.2526521943
996	0.2524437126
997	0.2522963077
998	0.2520531048
999	0.2519568807
